Run 1,,Run 2,,Run 3,
Tablet mass (g),Water mass (g),Tablet mass (g),Water mass (g),Tablet mass (g),Water mass (g)
"4,02","31,47","4,1","31,48","3,98","30,17"
time (s),Mass (g),time (s),Mass (g),time (s),Mass (g)
0,"35,49",0,"35,58",0,"34,15"
10,"35,41",10,"35,52",10,"34,07"
20,"35,34",20,"35,44",20,"34,01"
30,"35,28",30,"35,38",30,"33,96"
40,"35,23",40,"35,32",40,"33,93"
50,"35,18",50,"35,28",50,"33,88"
60,"35,1",60,"35,23",60,"33,83"
70,"35,09",70,"35,21",70,"33,8"
80,"35,07",80,"35,18",80,"33,78"
90,"35,05",90,"35,15",90,"33,73"
100,"35,03",100,"35,12",100,"33,73"
110,"35,02",110,"35,11",110,"33,71"
120,"35,01",120,"35,1",120,"33,7"
130,"35,01",130,"35,1",130,"33,69"
140,"35,01",140,"35,09",140,"33,69"
150,"35,01",150,"35,09",150,"33,67"
160,"35,01",160,"35,09",160,"33,67"
170,"35,01",170,"35,09",170,"33,67"
180,"35,01",180,"35,09",180,"33,67"
