Run 1,,Run 2,,Run 3,
Tablet mass,Water mass,Tablet mass,Water mass,Tablet mass,Water mass
"4,09","31,15","4,18","30,13","4,09","31,59"
time (s),mass,time (s),mass,time (s),mass
0,"35,24",0,"34,31",0,"35,68"
10,"35,21",10,"34,27",10,"35,66"
20,"35,2",20,"34,23",20,"35,59"
30,"35,08",30,"34,15",30,"35,5"
40,"35,02",40,"34,06",40,"35,44"
50,"34,96",50,34,50,"35,37"
60,"34,92",60,"33,95",60,"35,31"
70,"34,89",70,"33,9",70,"35,28"
80,"34,87",80,"33,88",80,"35,25"
90,"34,84",90,"33,84",90,"35,24"
100,"34,81",100,"33,84",100,"35,22"
110,"34,81",110,"33,81",110,"35,21"
120,"34,8",120,"33,81",120,"35,18"
130,"34,78",130,"33,79",130,"35,18"
140,"34,78",140,"33,79",140,"35,18"
150,"34,77",150,"33,77",150,"35,17"
160,"34,76",160,"33,77",160,"35,17"
170,"34,76",170,"33,77",170,"35,16"
180,"34,75",180,"33,76",180,"35,16"
190,"34,75",190,"33,75",190,"35,16"
200,"34,74",200,"33,75",200,"35,16"
210,"34,74",210,"33,74",210,"35,16"
220,"34,74",220,"33,74",220,"35,16"
230,"34,73",230,"33,74",230,"35,16"
240,"34,73",240,"33,74",240,"35,16"
250,"34,73",250,"33,74",250,"35,16"
260,"34,73",260,"33,74",260,"35,16"
